user,text,time,latitude,longitude,label
Jain Dowe,"That one time with @scottlevkoff, running around dressed as a demon child while partying with Kali. Yeah, that was pretty cool.

#barronscottlevkoff
@mysticmidway
#goldfire @ San Francisco, California https://www.instagram.com/p/CDpKl41B8No/?igshid=1diundvjaw5t9 …",2020-08-08 21:21:07,,,
Wildfire Incidents,"Page 2 There are 3 pages 
#NorthFire 6,882 acres 95% contained 
#DamFire 220 acres 95% contained 
#TexasFire 210 acres 50% contained 
#BlueJayFire 47 acres 0% contained 
#JulyComplexFire 83,261 acres 97% contained 
#AppleFire 32,412 acres 35% contained",2020-08-08 21:08:07,,,
Wildfire Incidents,"Page 1 There are 3 pages 
#CalaverasFire 57 acres 75% contained 
#TrimmerFire 600 acres 15% contained 
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 7,748 acres 31% contained  
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 98% contained",2020-08-08 21:07:59,,,
Susan,"“As the Apple Fire continued to rage this week, spreading more than 43 miles through remote, mountainous terrain near Banning, the Morongo Band of Mission Indians has been caught on its perimeter.” #NativeAmerican #AppleFire #SaturdayThoughtshttps://twitter.com/katedmiston/status/1292175143540871174 …",2020-08-08 20:55:21,33.9484638,-116.8146012,
luis sinco,"#AppleFire near Baumont consumes more than 4,000 acres. #HotAndDry #Summer #Infernopic.twitter.com/oDwQxrkV3v",2020-08-01 23:59:35,33.6717722,-117.2028576,
San Bernardino National Forest,#AppleFire: Voluntary evacuations are now in place for Oak Glen and Forest Falls. https://twitter.com/sbcountysheriff/status/1289711157293379585 …,2020-08-01 23:59:26,34.0494744,-116.9565593,
HPWREN,"Recently upgraded HPWREN cameras at Toro Peak capturing images from the #CherryValley #AppleFire.

AXIS PTZ Camera: http://hpwren.ucsd.edu/cameras/I/tp-n-axis.html …
Mobotix Mx6 Camera: http://hpwren.ucsd.edu/cameras/I/tp-n-mobo-c.html …",2020-08-01 23:59:11,33.9796488,-116.9870056,
Nico Jimenez,"From what im gathering i belive this is the area the fire is in, the ❎ is around where it started. #AppleFire pic.twitter.com/ONKKBxSbJV",2020-08-01 23:58:27,,,
Ron Bottorff,View from space... #AppleFire pic.twitter.com/s6eMSLGAHf,2020-08-01 23:57:20,,,
Sara Donchey,"I am guessing this is the plume from the #AppleFire, visible from the 210 Freeway in Irwindale @CBSLApic.twitter.com/cFQo9OreMU",2020-08-01 23:57:13,,,
jflesh,#AppleFire pic.twitter.com/9oE5G2FWCu,2020-08-01 23:56:43,,,
Diario El Mundo,"#Ahora l  Más de mil hogares ahora mismo están en riesgo de quemarse en Riverside, California donde el incendio forestal #AppleFire está avanzando sin control. Video de @ABC7
http://www.youtube.com/watch?v=tBpaX9BKmjQ … 2",2020-08-01 23:56:04,,,
San Bernardino County Sheriff,"#AppleFire OAKGLEN AREA: You are now subject to a voluntary evacuation order. Use Oak Glen Rd or Potato Canyon to evacuate the area.
FOREST FALLS AREA: You are now subject to a voluntary evacuation order. Use hwy 38 to evacuate the area.",2020-08-01 23:54:36,34.0494744,-116.9565593,
jflesh,#AppleFire pic.twitter.com/XinRdVnzj5,2020-08-01 23:54:24,,,
Jamie,"#AppleFire

Theres a predicted wind shift in about 2 hours, this is going to be a mess if even one column collapses... pic.twitter.com/Yuy8BEjkKf",2020-08-01 23:53:12,,,
CaliFireInfo 🔥,@evacupet #AppleFire https://twitter.com/CodeRed001Blue/status/1289708581722365952 …,2020-08-01 23:53:12,,,
ً ☾,#AppleFire looking wicked. Thinking of all the people it’s affecting 🖤 pic.twitter.com/9EMCGvQakH,2020-08-01 23:53:03,,,
Alan Kucheck,"#AppleFire from our #JoshuaTree driveway vantage point. now over 4000 ac, 0% containment.pic.twitter.com/TUhaUwV6Xi",2020-08-01 23:51:58,,,
Michael Barthel,"#CastaicFire Castaic Lake +20 acres

 #PellisierFire Colton +80 acres

#AppleFire Cherry Valley +4,125 acres",2020-08-01 23:51:54,,,
Pasadena Fire Assn.,"Strike Team 1203A has been sent to the #AppleFire, which includes Pasadena Engines 34, 36, Battalion 3, and Deputy 3, along with Burbank and Glendale Engines. Pasadena Fire Department remains fully operational and staffed to serve the city.
@PasadenaGov
#MutualAidpic.twitter.com/1CDxBaCp7k",2020-08-01 23:51:49,,,
Bitcoin-Bot,"<'clock face six thirty' & 'woman bowing deeply'>
#AppleFire #cryptocurrency #BTC #blockchainpic.twitter.com/meki75mbec",2020-08-01 23:51:41,,,
Jamie,#AppleFire Getting low on tankers...,2020-08-01 23:50:48,,,
Mimi Applegate Elder,"#AppleFire #WhitewaterCanyon area #RiversideCounty #CA #USA #Wildfire #Evacuate Activate your GO plans now! Take kits, vulnerable anybody, pets, animals with you. #Horses #Livestock #Help @DART_SOCAL @VivaRescue as per local authorities.https://twitter.com/hollygirl5/status/1291501266909016066 …",2020-08-06 23:57:26,,,
Financega,#Apple #AppleFire 🚀 #WallStreet #Nasdaq #Stockspic.twitter.com/sVHPMMGNjG,2020-08-06 23:46:48,,,
www.THEPIGEONEXPRESS.com,IN PICTURES: California 'Apple Fire' Keep Growing... || #AppleFire #CherryValley #CherryValleyfire #California #CaliforniaFire #CalFire #Wildfires #Wildfire #Firefighters #UnitedStates #RiversideCounty ||https://www.thepigeonexpress.com/in-pictures-california-apple-fire/ …,2020-08-06 23:45:00,,,
Norco Emergency Information Only,"#AppleFire 
New Evacuation Warnings https://twitter.com/SanBernardinoNF/status/1291518487047831552 …",2020-08-06 23:40:59,,,
SoCal_IC,"Helicopters at the #AppleFire today. First up, N40CU from @CoulsonAviationpic.twitter.com/Fenxk36yQV",2020-08-06 23:35:12,,,
Inland K9 SAR,"T944 just landed back at SBD off of #AppleFire 
Heard someone asking what reload time was, could not hear response
#aviation #fireaviation #AvGeekpic.twitter.com/SfSyecwvEn",2020-08-06 23:28:12,,,
The Sun,"#AppleFire could be ‘very active’ in Morongo Valley, expert warns https://trib.al/gvdUL8p ",2020-08-06 23:23:29,34.0551063,-116.605752,
Redlands Daily Facts,"#AppleFire could be ‘very active’ in Morongo Valley, expert warns https://trib.al/nSyrNvv ",2020-08-06 23:23:16,34.0551063,-116.605752,
The Press-Enterprise,"#AppleFire could be ‘very active’ in Morongo Valley, expert warns https://trib.al/nFXTMy1 ",2020-08-06 23:22:46,34.0551063,-116.605752,
Venessa Adams,california #applefire 1000's have lost theirs... learn to survive for a min with no juice. u should practice when they shut everything off #homestead,2020-08-06 23:22:05,,,
buy medical marijuana online,"Everything ready for delivery and shipping in box me now
Buy weed online
Buy weed carts online
Buy weed online
Weed for sale online
Order most be more than $140
#CannabisNews #OnlineMarketing #weedstagram #AppleFire pic.twitter.com/tj0Q0bRYs8",2020-08-06 23:20:25,,,
Blake Alexander,#applefire evacuation warning zone just 2.9 miles from the house now,2020-08-06 23:19:32,,,
"Dave ""Be Prepared"" Toussaint",#AppleFire T-944 just barely in the shot. pic.twitter.com/57KRDcSk6M,2020-08-06 23:10:23,,,
Kim Guimarin,"The latest on the #AppleFire
https://www.pe.com/2020/08/06/apple-fire-remains-at-30-contained-full-containment-could-come-aug-17/ …",2020-08-06 23:02:24,,,
"Dave ""Be Prepared"" Toussaint",Looks like @GSTSSupertanker is heading to the #AppleFire now. It's on the right side near the hills. pic.twitter.com/enKH9d4mz8,2020-08-06 23:02:00,,,
Lara,"Updated #AppleFire #RiversideCounty
#SanBernardinoCounty https://inciweb.nwcg.gov/incident/article/6902/52894/ …",2020-08-04 23:56:10,,,
Daytona Everett,"#UPDATE on #AppleFire 

Some Riverside County evacuation orders have been lifted.

San Bernardino evacuation *warnings* remain in place for Rimrock, Pioneertown and Forest Falls. pic.twitter.com/sDJ2sfYL6z",2020-08-04 23:39:23,34.0786064,-116.3051242,
Greenpeace USA,"On Friday, SoCal’s 1st major wildfire of the year began. Nearly 8k Californians have been evacuated& fire has spread to 26,000+ acres. As CA enters wildfire season & COVID cases surge, we must consider the intersecting impacts 🧵 #applefire https://bit.ly/3k9Jiwv ",2020-08-04 23:37:40,,,
Father Dale Hall,"Kyrie Eleison, Lord Have Mercy
Have mercy on me, O God, have mercy on me!
Grant us Your peace.

#Pray 4 #Lebanon #BeirutBlast #AppleFire #NewYork #TORNADOWARNING #coronavirus #SchoolReopening #HumanTrafficking #India #Vietnam
#Jesus #Peace #love #joy",2020-08-04 23:34:40,,,
Will Lester,"The #AppleFire continues to burn near the Oak Glen Conservation Camp approximately 2 miles from the town of Oak Glen Tuesday. The fire has burned 26,850 acres along with 12 structures and is currently 15 percent contained. pic.twitter.com/5KPVMWP0N3",2020-08-04 23:23:41,34.035841,-116.9120201,
Trishas WC FIRE & WX,"#AppleFire
@CALFIRERRU
@SanBernardinoNF
#CA #CAWILDFIRES #CALIFORNIAFIRES #FireSeason2020https://twitter.com/SanBernardinoNF/status/1290787694805647360 …",2020-08-04 23:22:40,,,
Gryphen Courage.,"Listen, it's hot enough out there with out us making wildfires. #wildfires #AppleFire #extremeweather #climatecrisishttps://twitter.com/Toronto350/status/1290726716005130249 …",2020-08-04 23:22:33,,,
89.3 KPCC,"The #AppleFire has burned nearly 27,000 acres and was 15% contained as of this morning. Officials say the fire was started by a truck's tailpipe exhaust. One firefighter has been injured and 12 structures destroyed 
https://kp.cc/3a0lczt ",2020-08-04 23:20:38,,,
LAist,"The #AppleFire has burned nearly 27,000 acres and was 15% contained as of this morning. Officials say the fire was started by a truck's tailpipe exhaust. One firefighter has been injured and 12 structures destroyed 
https://laist.com/latest/post/20200804/apple-fire-san-bernardino-riverside-august-4 …",2020-08-04 23:19:28,,,
www.THEPIGEONEXPRESS.com,IN PICTURES: California 'Apple Fire' Keep Growing.... || #AppleFire #CherryValley #CherryValleyfire #California #CaliforniaFire #CalFire #Wildfires #Wildfire #Firefighters #UnitedStates #RiversideCountyhttps://www.thepigeonexpress.com/in-pictures-california-apple-fire/ …,2020-08-04 23:06:00,,,
KTLA,"BREAKING: Some #AppleFire evacuations lifted, allowing residents in Riverside County may return home, but mandatory orders remain in place in San Bernardino County https://ktla.com/news/local-news/42-square-miles-charred-in-san-bernardino-mountains-as-apple-fire-burns-for-5th-day/ …",2020-08-04 23:04:35,,,
KESQ News Channel 3,"BREAKING: #AppleFire evacuation orders lifted in some parts of Riverside County. All evacuation orders remain in place for San Bernardino County.

Details: https://kesq.com/news/2020/08/04/some-evacuation-orders-lifted-for-apple-fire/ …pic.twitter.com/82SmIaYEIM",2020-08-04 22:55:47,33.9657877,-117.7435712,
Rich Thompson,"Still looking good for some continued moderation of temps and RH on the #AppleFire the next couple of days. However, stronger onshore gradients will result in somewhat stronger diurnal winds, especially on Wed.

For Fri-weekend, warmer and drier conditions still on track.",2020-08-04 22:55:05,,,
Daniel R. Patterson,#AppleFire. 2 evacuation orders in Riverside County are lifted: all areas east of Oak Glen Rd and all areas west of Potrero Rd and north of Wilson St. #CAfire https://inciweb.nwcg.gov/incident/6902/ ,2020-08-04 22:45:39,34.1537378,-118.9691805,
Stelllllllaaaaaaa,#AppleFire Saturday afternoon from the Valley pic.twitter.com/dk0cxZzHNH,2020-08-04 22:38:16,,,
Stelllllllaaaaaaa,We’ve got fire trucks lining the roads at motels cause the #AppleFire pic.twitter.com/7s0ErgoIow,2020-08-04 22:36:24,,,
Curious Quail | Black Lives Matter,"As soon as I got back inside to edit and post these photos, the whole house started glowing orange at the windows because the smoke clouds are now covering the sun. 
#applefire https://twitter.com/CuriousQuail/status/1290071924781924352 …pic.twitter.com/DOf0VQay9U",2020-08-02 23:59:42,,,
Faith M. Jackson,"No, they're no just clouds. It's smoke coming over from the #AppleFIRE into Palm Springs. pic.twitter.com/eo8ssuORdP",2020-08-02 23:57:23,33.7718388,-116.7040306,
Human Houseplant,"Made a map for #applefire evacuation resources and will update as necessary. So far only 1 evac location, but that may change. https://maps.app.goo.gl/2rq59VZ39dCLb6fg6 …",2020-08-02 23:57:10,,,
EmergencyStream,CA | Cherry Valley - #BREAKING Continuing #aerial coverage of the #applefire #watch #livestream https://www.facebook.com/watch/?v=221589039100785 … @KTLA,2020-08-02 23:56:20,33.9796488,-116.9870056,
WINE HOUSE MUSIC PROMOTIONS,"#AppleFire Photo from Riverside County Area in the city of Desert Hot Springs taken August 1, 2020. pic.twitter.com/Gvwc6plzv4",2020-08-02 23:55:51,33.9163603,-116.3604212,
WearADamnMask,"4:00 pm Near Hoffer and Wilson in Banning, CA #AppleFire pic.twitter.com/hDgRbgFKXD",2020-08-02 23:55:10,33.9139463,-116.8005804,
craig philpott,"One story of massive fire behavior and weather from the AppleFire #applefire above Beaumont and Banning CA, day ONE, yesterday. The battle to save a ranch and camp at the upper end of Mile High Ranch Rd. So many mutual aid crews on the battle with CalFire https://youtu.be/FS3yMTY6v18 ",2020-08-02 23:53:36,33.791692,-117.0342861,
Nebr. / SW Iowa Red Cross,Does your family have a fire plan? #AppleFire https://twitter.com/redcross/status/1290059900677230596 …,2020-08-02 23:51:14,,,
Sue Montalvo-Lowe,We’re seeing smoke in #LaQuinta from what I believe is the #AppleFire in Riverside County. Can anyone confirm? pic.twitter.com/JouJcr7tpF,2020-08-02 23:50:52,33.6610161,-116.3447964,
craig philpott,Yesterday on #applefire on Mile High Ranch Rd (@jack editor please) #autocorrecthttps://twitter.com/CphilpottCraig/status/1289679761816424448 …,2020-08-02 23:47:51,,,
p$,view from cherry valley of #applefire featuring lil alpaca pic.twitter.com/97FkAxeiqb,2020-08-02 23:45:30,,,
WestMetroFire,"This crew of West Metro firefighters is headed to California to help out on the #AppleFire, burning east of Los Angeles. The fire tonight is more than 20,000 acres and more than 7,000 people have been evacuated. pic.twitter.com/eepqAQ0nqv",2020-08-02 23:45:18,34.0378675,-118.048914,
Rob Neppell,"Hey @AlertWildfire @nvfirecams folks --- any chance you could stop the rotation on Axis-HeapsPeak2 and keep it pointed at the #AppleFire? 

http://www.alertwildfire.org/inlandempire/index.html?camera=Axis-HeapsPeak2 …pic.twitter.com/DLIBUxTWrT",2020-08-02 23:44:23,,,
Deliberate Wanderer,This post is from a different fire 2 years ago but still applies.  #Savetheanimals #Applefire #LosAngelespic.twitter.com/3RVZO1LoBF,2020-08-02 23:43:43,,,
Maria Sestito,#AppleFire https://twitter.com/MyDesert/status/1290026061804134401 …,2020-08-02 23:42:57,,,
Lee Golden,#AppleFire in #Riverside CA Doubles in Size Over Night!!https://www.brighteon.com/4c102ba5-e7e3-4e17-9fdb-36563efac551 …,2020-08-02 23:41:12,,,
AChristianReport,"Apple fire continues to burn in parts of California at the size of over 26,000 acres! 
Credit to travelerhacker 
#applefire #wildfire #california #californiawildfires #califire #californiafire #christian… https://www.instagram.com/p/CDckLDlFstz/?igshid=16rzuq6i1qtuy …",2020-08-03 23:59:34,33.9586291,-116.9174375,
Kyle Wu,"@PattersonNBC arrives Beaumont, California on the #AppleFire
https://youtu.be/NCzA6zaDYjU ",2020-08-03 23:59:10,,,
wettribe,"‘Evacuation Orders’ for: Banning residents north of Wilson Street & east of Sunset. Cherry Valley residents north of Dutton Street, east of Oak Glen Road & community of Oak Glen in San Bernardino Co. #AppleFire pic.twitter.com/gcKeZZrsCO",2020-08-03 23:56:52,,,
BC Wildfire Weekly - Now Covering #COVID19,"Ominous looking photo via @JoshNavarroTV. 

📸: (AP Photo/Ringo H.W. Chiu)

#AppleFire cc: #RiversideCounty #SanBernardinohttps://twitter.com/JoshNavarroTV/status/1290420303877857280 …",2020-08-03 23:54:38,,,
DeeAnn✊Bradley,Great news from #AppleFire -Possibly @Uncrustables?https://twitter.com/slotribune/status/1290416944169066503 …,2020-08-03 23:51:37,,,
Cindy Yamanaka,"SCE crews will replace the charred power pole as a result of the #AppleFire w a new one along Beaumont Ave. near Orchard St. in Cherry Valley. Arson suspected in the 26,000+ acre blaze, according to authorities. @pressenterprise @ivdailybulletin @RedlandsNewspic.twitter.com/1In76O0C4f",2020-08-03 23:50:43,,,
Heartland Fire,Heartland Fire & Rescue currently has 2 units assigned to the #AppleFire as part of strike team 6440A. Stay safe. #heartlandfire #HFR #classonepic.twitter.com/ksVWUhS0jV,2020-08-03 23:50:00,,,
CarrieDahl 🇺🇸 😷🌻☮️,#AppleFire https://twitter.com/CALFIRERRU/status/1290404712076828672 …,2020-08-03 23:49:05,,,
c,The Smoke from the #AppleFire covering the sun pic.twitter.com/15oGFNI21J,2020-08-03 23:47:53,,,
Ian Imhof,"08.03.2020: Life On Mars

Thank you Ben & Heather for letting me escape to your dusty wonderland for a few days of needed seclusion.

#LifeOnMars #HELL #ThisIsMyDrinkingHat #YuccaValley #JoshuaTree #AppleFire pic.twitter.com/grjtNrBIeC",2020-08-03 23:47:30,,,
Kevin Janison,There's an eerie appearance when smoke (from the Apple Fire in So Cal) fills the sky.  Here's how Monday started.  Reflection off the Colorado River is courtesy Robert Bilbray.  Obeying the traffic laws is a wife photo.  @News3LV #sunrise #AppleFire #Vegaspic.twitter.com/kmjbngwoGD,2020-08-03 23:47:11,,,
The Press-Enterprise,"#AppleFire update as of 4:45 p.m.:
- 26,450-acre wildfire in #CherryValley is 5% contained
- Fire caused by diesel car’s exhaust system, investigators say
- Read more: https://trib.al/pbB0GTt 
- Location & evacuation map: https://trib.al/ybuGDjL 
Photo: @Cyamanaka7pic.twitter.com/Ztz7FMd0QG",2020-08-03 23:46:31,,,
KCOY NewsChannel 12,"Firefighters determined the #AppleFire was caused by a vehicle that spewed burning carbon from its exhaust system, igniting several fires on Oak Glen Road in Cherry Valley. https://keyt.com/news/2020/08/03/vehicle-malfunction-sparked-apple-fire-in-riverside-county/ …",2020-08-03 23:46:01,,,
KEYT NewsChannel 3,"Firefighters determined the #AppleFire was caused by a vehicle that spewed burning carbon from its exhaust system, igniting several fires on Oak Glen Road in Cherry Valley. https://keyt.com/news/2020/08/03/vehicle-malfunction-sparked-apple-fire-in-riverside-county/ …",2020-08-03 23:46:01,,,
KKFX My Fox 11,"Firefighters determined the #AppleFire was caused by a vehicle that spewed burning carbon from its exhaust system, igniting several fires on Oak Glen Road in Cherry Valley. https://keyt.com/news/2020/08/03/vehicle-malfunction-sparked-apple-fire-in-riverside-county/ …",2020-08-03 23:46:00,,,
BC Wildfire Weekly - Now Covering #COVID19,#AppleFire #RiversideCounty #SanBernardinoCountyhttps://twitter.com/SanBernardinoNF/status/1290409363752882178 …,2020-08-03 23:45:13,,,
Kristy Siefkin Fox10,Smoke drifting into AZ from the #applefire in S. CA is terrible for air quality but makes for some great pics! #azwx #fox10phoenixhttps://twitter.com/chsneyfn/status/1289941267317579776 …,2020-08-03 23:44:11,,,
D 🌊🌊🌊🎻🎼,"Take your pets 
Take your pets
Please take your pets! 
#AppleFire #wildfireshttps://twitter.com/RedCrossLA/status/1290429907202453506 …",2020-08-03 23:42:11,,,
Monica Woods,"#applefire caused from exhaust malfunction. this fire is over 26,000 acres and only 5% contained. #wxforce10 @ABC10https://twitter.com/CALFIRERRU/status/1290404712076828672 …",2020-08-03 23:39:04,,,
Warning Watch | San Diego East County,"#RT @NWSSanDiego: RT @SouthCoastAQMD: SMOKE ADVISORY UPDATE: #AppleFire Advisory extended through Monday, August 10th: http://aqmd.gov/advisory pic.twitter.com/ClnDMCVV4x",2020-08-09 23:39:21,,,
SB County Fire,"The #AppleFire incident commanders have lifted all Evacuation Warnings in Riverside County and the following Evacuation Warnings in San Bernardino County: 

San Bernardino County: 
• Forest Falls, Rimrock & Pioneertown

@SanBernardinoNF @CALFIREBDU @CALFIRERRUpic.twitter.com/bd0H7J7FGR",2020-08-09 23:35:54,33.7527619,-116.616047,
Faith Margaret,Still thinking about all in California in danger due to #AppleFire https://twitter.com/abcworldnews/status/1292542505867776000 …,2020-08-09 23:26:46,,,
San Bernardino National Forest,"The #AppleFire incident commanders have lifted all Evacuation Warnings in Riverside County and the following Evacuation Warnings in San Bernardino County: 

San Bernardino County: 
• Forest Falls, Rimrock, Pioneertown",2020-08-09 23:21:13,33.7527619,-116.616047,
J.C. Montano,⭐️Apple Fire 40% contained Sunday #AppleFire #socalnewshttps://www.newsbreakapp.com/n/0Ppt9XXZ?pd=06ECz8lq&s=i2 …,2020-08-09 23:17:43,,,
RivCoReady,ALERT RIVCO MESSAGE — #AppleFire — All Evacuation Warnings cancelled in Riverside County. Learn evacuation terms before the next emergency and sign up for Alert RivCo at http://www.RivCoReady.org/AlertRivCo pic.twitter.com/DtokOB6dyn,2020-08-09 23:15:56,,,
John’s Photos,#applefire ?  Nope!  The Millard pic.twitter.com/KJGZRbxjKJ,2020-08-09 23:13:40,,,
Sierra Ntl. Forest,For the most up to date information on the #TrimmerFire visit https://inciweb.nwcg.gov/incident/6923/ pic.twitter.com/Iy3O8phcPU,2020-08-09 22:40:54,,,
South Coast AQMD,"SMOKE ADVISORY UPDATE: #AppleFire Advisory extended through Monday, August 10th: http://aqmd.gov/advisory  pic.twitter.com/E2NnH7eSik",2020-08-09 22:40:09,,,
Maria Sestito,#AppleFire https://twitter.com/MyDesert/status/1292573738060275713 …,2020-08-09 22:33:59,,,
Brooklyn Aguirre,Anyone else’s allergies going crazy because of the #AppleFire?,2020-08-09 21:59:46,,,
montebellofd,"On Saturday, August 8, 2020, the Montebello Fire Department welcomed home Engine 57, assigned at part of strike team XLE 1280A sent to help combat the #applefire. Pictured here are Captain Creswell, Engineer Garcia,… https://www.instagram.com/p/CDrycSbBOih/?igshid=u1immc9lvr92 …",2020-08-09 21:47:50,,,
Scott Lay,It’s here. #AppleFire,2020-08-09 20:54:23,,,
CBS Los Angeles,"A massive fire that scorched 32,412 acres was 40% contained as of Sunday, firefighters said. #AppleFire https://losangeles.cbslocal.com/2020/08/09/firefighters-gain-ground-on-32412-acre-apple-fire-in-riverside-county/ …",2020-08-09 20:43:50,,,
Warning Watch | San Diego East County,"#RT @NWSSanDiego: RT @SanBernardinoNF: Fire Behavior Analyst Dennis Burns gives the August 9 video update for the Apple Fire. #AppleFire
https://www.facebook.com/SanBernardinoNF/posts/3441728702524306 …pic.twitter.com/yTirNTTZo5",2020-08-09 20:39:06,,,
CaliforniaDisasters,#AppleFire https://twitter.com/sanbernardinonf/status/1291805635202383881 …,2020-08-07 23:50:18,,,
American Red Cross Southern California Region,"When Arianna and her daughter Kristine found themselves in the middle of the #AppleFire evacuation, they didn't know where to turn. Then, they found the American Red Cross, and everything changed: https://rdcrss.org/3ikWiO5 pic.twitter.com/oCx0CcrOZ1",2020-08-07 23:48:31,,,
www.THEPIGEONEXPRESS.com,IN PICTURES: California Apple Fire.... #AppleFire #CherryValley #CherryValleyfire #California #CaliforniaFire #CalFire #Wildfires #Wildfire #Firefighters #Pictures #UnitedStates #RiversideCountyhttps://www.thepigeonexpress.com/in-pictures-california-apple-fire/ …,2020-08-07 23:48:00,,,
Inland K9 SAR,"Just hangin' out at the Redlands helibase #AppleFire
#aviation #fireaviation #AvGeekpic.twitter.com/nhmFQjxdvS",2020-08-07 23:43:15,,,
American Red Cross Southern California Region,"As our Red Cross team continues to respond to the #AppleFire, we want to pause and say: thank you. Thank you to the brave first responders who have been working around-the-clock to contain the fire and save lives and property. You are true heroes! 🚒 🚑 🚓 pic.twitter.com/nWTJrkARaj",2020-08-07 23:40:42,,,
"CIRCE Healthcare Solutions, Inc.","#applefire with the heavy smoke in the #morongobasin, please remain indoors and make sure to have any prescribed breathing devices and medication within reach. Don’t forget to turn off your swamp… https://www.instagram.com/p/CDm1upvBtQL/?igshid=1pvnl3d68u56f …",2020-08-07 23:40:18,,,
jay calderon,The smoke from the now seven-day old #AppleFire looks ominous today as Cal Fire has an intentional controlled burn happening in the San Gorgonio wilderness. pic.twitter.com/UPTm7crbJQ,2020-08-07 23:38:09,34.098971,-116.8334855,
Dan Munsey,@MyYuccaValley - Join me in Morongo Valley tonight at 6 to hear current update on #AppleFire from IMT representatives and community leaders. @SBCountyhttps://twitter.com/sanbernardinonf/status/1291842053144535040 …,2020-08-07 23:34:54,,,
Working Fire,#applefire https://twitter.com/sbcfirechief/status/1291873771347800065 …,2020-08-07 23:33:07,,,
Duncan-not,"@RileysFarm76! This morning you spoke of your love of your preferred style, that which is ridicule. Well, it just so happens that I agree with you. Remember when you attended the @CALFIRERRU/@CALFIREBDU community meeting about the #AppleFire & forgot how to wear a mask? I didn’t. pic.twitter.com/6v2by9I9h0",2020-08-07 23:30:04,,,
World Central Kitchen,"🔥 UPDATE from the #AppleFire in California: It's flaring up today, but our teams are safe and busy preparing dinner! 💪
📷: @RichIMETpic.twitter.com/XqOLYKhzQv",2020-08-07 23:28:08,,,
Melissa Newman,Santa Barbara County Fire Department’s strike team is still on scene of the #AppleFire. Check out the smoke behind them - it was visible from space today! https://twitter.com/nwssandiego/status/1291857144589901825 …pic.twitter.com/eqvznp3Jka,2020-08-07 23:27:20,,,
jennyOcho,"View from the #applefire today.  lafd strike team on scene. I drove out last night to have dinner with my husband, who I’ve seen for 8 hours in the last 18 days. Absence makes the heart ❤️ grow fonder. pic.twitter.com/viI8nvhgbn",2020-08-07 23:26:41,,,
CaliforniaDisasters,#AppleFire https://twitter.com/helislacker/status/1291795696874426369 …,2020-08-07 23:22:12,,,
D 🌊🌊🌊🎻🎼,"Click on the link to go to the official page #AppleFire and there is a link to enter your address to see all current evacuations! And, if you have to go, please take your pets! https://twitter.com/cal_fire/status/1291739981426262019 …",2020-08-07 23:19:32,,,
