category,text,label
not relevant,ITS SO TRUE THAT YOU PICK UP HABITS FROM PEOPLE U LOVE I STG,0
not relevant,I really need to get out of the habit of calling cops pigs because pigs are fucking cool. Any suggestions for some new names for cops?,0
not relevant,I do have a habit of drinking wine reguardless of time and place when I get stressed.,0
not relevant,"I need one of those glasses. Actually, 2 of them.  My wife has a habit of breaking my mugs & glasses so a backup is required",0
not relevant,"How about a little visual awareness and situational comparison exercise. 

As a trainer, one thing I've noticed is that, bad habits die hard: pic.twitter.com/Idq5ZMvISI",0
not relevant,No shit ah. Bad habit,0
not relevant,"You'll probably end up being squished in more than explore hah, though I tend to have a habit of carrying people around in me and doing everyday things :P",0
not relevant,"Agreeing with Man City fans is not something I want to get into the habit of but again, cannot dispute this https://twitter.com/RealTalkMCFC/status/1292120993914380290 …",0
not relevant,An Encourager makes habits out of envisioning success for themselves and others and teaching us to do the same. #live #augustpic.twitter.com/3GqGKAlRhK,0
not relevant,I’m always complaining talkmbout I need some sneakers 😭😭 I be wearin em one time and be done wit em I got a bad habit.,0
not relevant,I dont like summer bc i always go back to old habits and its so annoying omg,0
not relevant,Yeah,0
not relevant,IM NOT OKAYhttps://twitter.com/babietommo28/status/1292239588401065988 …,0
not relevant,Still trying to train myself out of the habit of reading the news before my morning coffee has fully kicked in - starting the day angry at shit I can't personally resolve can't be good for me.,0
not relevant,Don’t do it you only have 7 more days left to break the habit. It takes 2 weeks to get to ‘break habit’ stage. You will still occasionally feel like one but after 2 weeks the worst of the craving stage is over. So hang in their be a champion,0
not relevant,ITS A HABIT IM SORRY,0
not relevant,Notoriously slow starters England break nasty habit with brilliant comeback https://bit.ly/3a83iuN  #SMRTNEWS,0
not relevant,I have a bad habit of zooming in on photos looking at people feet.,0
not relevant,Your hustle has to be stronger than your habit.,0
not relevant,"Such an interesting insight from @DavidNWriter on his latest book and writing habits. Loved it!
@mcnallyjackson @amortowles",0
not relevant,Old habits die hard,0
not relevant,"I respect your perspective on this, but I’m still pro-burn it down, as someone who has been a lifelong R/conservative. The party is so unlike what I thought they were, and their “principles” mean nothing. Won’t be making a habit of voting D, but I won’t be voting R for a while.",0
not relevant,I love fall and those earrings were stunning and there was one left!!! I have this habit of seeing one for sale and just going for it before I miss it and regret it.,0
not relevant,"يهرب 
is it your habit to personally attack people after each sentence ? :|",0
not relevant,"The guys are back together to talk about a passion of @SwazzoTV: breaking bad habits. Everything from mechanical play, social aspects to the game and play experience is on the table this week! #mtg #edh #cmdr https://bit.ly/3i55Psk pic.twitter.com/tZmYw1jfKo",0
not relevant,I know people who went to blm protests and still say the nword just cuz you went to a protest doesn’t mean your excused,0
not relevant,"i broke my life long nail biting habit about 2 years ago and im still upholding that. i quit drinking around the same time (im a recovering alcoholic) . i achieved clear skin this year, and im working on leaving tobacco behind for good. i’ve come a long way 🌙❤️",0
not relevant,"OPINION | GUEST CONTRIBUTOR

Guest contributor Rosamond van Wingerden criticizes the campus culture which allows eating disorders to flourish, calling for an end to the normalization of destructive habits.

https://www.dailyprincetonian.com/0f538752-f57c-464d-b18f-64bbb6a01ebb …",0
not relevant,"May we all become the pebble possible for the amount of time that this universe may allow us. 

For our collective actions and habits will create the beaches of our world. 

We alone will decide the beauty of the beaches we and our future descendants will inhabit.",0
not relevant,I think it’s habit from farming and from modesty...If you come from a blue collar family you know the mess that can occur coming in from the fields.  Same reason why you have the good clothes vs the normal clothes. Gloves were modesty and protection of hands- a sign of status.,0
not relevant,"Agreed. However, prosecutors shouldn't be in the habit of making statements of innuendo and should either indict or not. Commentary prior to indictment is never appropriate from them.",0
not relevant,Uh oh my milo snorting habit will be revealed. That's creepy https://twitter.com/CNN/status/1290418694326308872 …,0
not relevant,"-change your bad habits 
-jealously is not a healthy thing 
-don’t hold onto bad grudges 
-do what makes you happy",0
not relevant,"habit 

I vote Louis Tomlinson for #ArtistoftheSummer",0
not relevant,A3 Self care encompasses physical and psychological habits to ensure wellness. So important to insist on a safe environment with all precautions in place (& followed) and social/emotional support for everyone. #FormativeChat,0
not relevant,i have: adopting my ffxiv character's sitting habits disease,0
not relevant,"Addressing judge as “Your Honour”comes from ancient feudal practice. Your Honour was a formal address for anyone with a title  This habit just became formalised over the years for judges (while dropped for the titled people).
Such a pity they are most certainly not all honorable.",0
not relevant,"Yes. I've gotten this twice in the last two hours, though I've never gotten it before and my tweeting habits have not changed significantly. pic.twitter.com/3H8hHiM0Jm",0
not relevant,"I bite my nails without realising it's a habit but especially when I'm anxious or nervous, I'm never gonna have long nails😭😭😭😭😭",0
not relevant,"Ahh, Tsumugi’s bad habit, huh. This is the first time I’ve seen someone earnestly accept something like an amulet.",0
not relevant,"People from other states travel to Delaware to shop,  please practice safe habits when you go into busy shopping complexes",0
not relevant,"Eating Dirt

known as geophagy. Cultures worldwide have practiced from the ancient Greeks to Native Americans.Rarely if ever recommended by medical professionals, some nutritionists now admit the habit of eating clay may have some real health benefits.

https://abcnews.go.com/Health/Diet/story?id=1167623&page=1 …",0
not relevant,eu recebi do Right Now,0
not relevant,"Ah, the ever living cynic. It’s been a life thing for me .. but if getting crafty while shut in during a deadly pandemic is wrong you don’t be right, y’all. There’s worse habits to indulge in. https://twitter.com/sarcasm4every1/status/1292609043379269632 …",0
not relevant,Ah must be a habit to do both,0
not relevant,Ugh! I got an ARC and I make a habit of getting the finished signed by the author if I can. Just spent the last of my non-bills money on classroom supplies! Dadgummit!,0
not relevant,"Trying to get into the habit of sketching again. What better subject than Flurry from Animal Crossing. I’m also able to see my mistakes from a picture of my sketch than from just looking at it, weird. https://tmblr.co/ZPGOVoYm44vP4a00 …",0
not relevant,"#RT @Manh8tan: FYI Stash can help you build healthy money habits and achieve your financial goals. If you try it with my link and add cash, we’ll each get $20.",0
not relevant,"I try to go for high-quality narrative content with endings. That or fun games I can share with my kid. Never ever F2P or in-app purchases or perpetual games designed to create a habit of playing because like you said, time is limited!",0
not relevant,"You are a blessing, and I hope you feel the same way about yourself too.",0
not relevant,Habit forming products make you unlearn old habits. When was the last time you pressed F1 button for help? Now we do google. #productdesign #uxperience,0
not relevant,"too much of the focal point of period tracking is the days you bleed and I wish I was taught earlier to track my mood, sleeping habits, digestion, and energy",0
not relevant,I have a bad habit of not giving a fuck and getting on the carpool lane when I know I shouldn’t :/,0
not relevant,Habit Burger just blessed my life,0
not relevant,"It is 🤣 Have no idea what triggered that habit in him. It may be because he lost his mom pretty young so he didn't develop fully emotionally. Because his sister, my female cat, has a suckling behavior when she finds fluffy cloths and is in a loving nood 😅",0
not relevant,"Solo 3?????
Two of us
We made it
Habit
#StreamWalls",0
not relevant,Same,0
not relevant,China is gross. Villages? Overpopulated. Disgusting eating habits. Now the plague?,0
not relevant,What are your bad habits?,0
not relevant,I got you. Disagreeing with people sometimes becomes just a bad habit of mine ;),0
not relevant,Not me listening to Strange Habits 10 times. I tried pressing next but i end up going back to it.,0
not relevant,yes it’s a bad habit can’t get rid of,0
not relevant,"habit
I vote Louis Tomlinson for #ArtistoftheSummer",0
not relevant,"🚂 Hi folks, What does The Little Engine That Could and Babe Ruth have in common? Hint: it's a success habit... ⚾ - https://mailchi.mp/277c1bfdd625/hey-if-youre-thinking-of-making-new-years-resolutions-this-nye-you-might-like-to-think-about-this-first-833530 …pic.twitter.com/CLhrhPScCV",0
not relevant,"“As long as you can try, that’ll be good enough. Being a creature of habit is part of being human.”

He chuckled softly, finishing his notes.

“Anyway, come back anytime after noon tomorrow and I’ll give you your new drops.”",0
not relevant,i'm so quirky i call h 'ws singer flop'😁😁 hahaha i'm hilarious not toxic at all😁😐,0
not relevant,"y'all need to get in the habit of getting a fucking sensitivity reader, bc summa the shit y'all right is straight up offensive. like literal harmful stereotypes. it existing 'in fiction' don't mean shit, it's still shitty. https://twitter.com/themunchking1/status/1291403365088468992 …",0
not relevant,"Yep. It’s worse too when you’re telling them the persons patters and habits and they still don’t budge. I won’t need your help searching for my loved one, I’ll do it",0
not relevant,Is the expiration date on fresh meat too soon or too late?,0
not relevant,"Even if You Exercise Regularly, this One Habit Could Undo All Your Hard Work - MSN Money http://dlvr.it/Rd8W7P ",0
not relevant,"Self-Care Or Self-Revenge? The Post-Lockdown Habit To Watch Out For
https://buff.ly/3fcwQIt pic.twitter.com/WTuzThKbiu",0
not relevant,"tw// food

not my family food shaming me because I eat like a pig and they're giving me a limit even though all they ever buy is candy and are fully aware of my habits 😹❤",0
not relevant,I followed @965TDY and vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer habit,0
not relevant,“Dudes have a bad habit of reposting quotes that sound good but don’t live by those principles.”,0
not relevant,Think he may have muted me due to my infamous habit of posting long threads & presumably blowing up his notifications. Show him this if you can.  https://www.telegraph.co.uk/news/2020/06/25/nhs-treatment-delays-linked-child-deaths-coronavirus/ …,0
not relevant,the universe has a habit of taking human wishes too literally,0
not relevant,"All behaviors are either Positive ROI or Negative ROI

Negative ROI behaviors
-->>> Lazing around
-->>> Junk Food
-->>> Addictions

Positive ROI Behaviors
-->>> Lifting weights
-->>> Eating clean
-->>> Building positive habits",0
not relevant,i have this habit of only painting one hand/my thumb when im painting my nails just cause i cannot do my other hand and no one in my house is willing to do it for me,0
not relevant,"Arieh’s dad said he was coming to get him at 8. He also has a habit of saying shit but not doing it. So if he stands my baby up, I’m flying back to Jersey to personally deliver these hands",0
not relevant,"I really have an bad habit of being on my phone all the time. I really want to be off it cold turkey, off of social media and to just have it for contacting. I want to have my full decided attention on bettering myself and focusing on my son.",0
not relevant,"I’m not in the habit of eating ladybugs, but if you say so...",0
not relevant,"Blinders on!

Keep focused on your own progress. 💪🏼",0
not relevant,"Cleaning out my closet and found some elementary/middle school essays from my brother. 

Absolutely roasts my college cologne habit before redeeming himself with his later work. pic.twitter.com/iujR70mkg4",0
not relevant,lmao the only thing that worries me is her youtube viewing habits. she watches all those people that are definitely older than us that act like kids. i’m going to try to get her into like cat videos or something lmao,0
not relevant,"We can all reach new heights.

How?

By focusing on our habits.

Build a better system to take on life.

> Self-improvement books
> Better eating
> More walking

Tiny, simple changes can compound to absolute growth.",0
not relevant,"Does your underwear prevent the spread of methane? If you can smell a fart through your mask, you can ‘smell’ the virus. A mask is only one prophylaxis. Used in conjunction with hand hygiene, social distancing, & breaking the habit of constantly touching your face, it helps big.",0
not relevant,"I think earning potential (not earnings, but potential) is set early. But I do think savings habits can change later, if only out of necessity.",0
not relevant,perfect now habit y walls,0
not relevant,my fav habit is touching money.,0
not relevant,chainsmoking is definitely the sexiest habit ive picked up during quar,0
not relevant,"I've been letting this shit slide
These bad habits they die too slow",0
not relevant,If you love me— send me some money to support my shopping habit. DM for details.,0
not relevant,My brother studied their migration habits. Collected their DNA by impregnating green scrubbing pads with catnip and nailing the pads to trees for them to rub against leaving fur. They like catnip.,0
not relevant,yeah❤️,0
not relevant,stoooooop is this funny to you? i was literally gonna sleep like rn,0
not relevant,Wayfair's earnings included a wild stat that shows how much the coronavirus has changed shopping habits https://www.businessinsider.com/wayfair-sales-soar-as-shoppers-online-furniture-2020-8 … by - Reformed Control Freak Daily News @briansmithpld @BIFrance,0
not relevant,"I LUV THE HABIT, u gunna hook it up??😳 i gotchu on mcdonalds 👉🏻👈🏻",0
not relevant,"Coworker: You don't have to wear a mask outside, just social distance and it'll be okay.

Me (in the middle of lip syncing to Superbass): Oh haha yeah I just like to build the habit",0
not relevant,tbh if u don't know who ur stupid bye🏃‍♂️,0
not relevant,I like having habits don’t get me wrong but I’m pretty bored with life. I’m ready for the YMCA league to start,0
not relevant,lol idk i say it to irl and online it’s just a habit 🥺,0
not relevant,"I get why, and I do it too as a writer and illustrator, but it has changed the buying habits of me and other consumers for sure.",0
not relevant,"""She gets that from me!""👨‍👦‍👦👩‍👦
.
Isn't it fun to watch our kids👶🧒👦 grow and develop their own mannerisms and quirks? Especially when we can see they got them from us.
.
Healthy eating 🥦🍆🥕🥔🌽🍓🍎 is a perfect example of this.
Need help getting on the right track? We can help.pic.twitter.com/U9bPWehhhs",0
not relevant,"When I don't smoke, the withdrawal causes mental health conditions to be amplified. I don't know if it gets better with time; 21 days to kick a habit, and all that. Hope you are successful.",0
not relevant,i got a bad habit of not eating until 8pm.....i ran 5 miles before even eating today😐,0
not relevant,"A college Prof had a habit of telling our class that optional assignments would earn us karma. By Nov, we expressed dismay over the ambiguity of the incentive--for instance, did it buy extra credit per karma point, or was it a competition? I give you, the millennial.",0
not relevant,habit I followed @965TDY and vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer,0
not relevant,"Habit 

I vote Louis Tomlinson for #ArtistoftheSummer",0
not relevant,"Hell yeah. Picking up those sweet, sweet drawing habits.",0
not relevant,"habit
I followed @965TDY and vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer",0
not relevant,"me: time to work on my DBT therapy book and adopt healthier coping habits :•) 💗
my DBT therapy book: pic.twitter.com/Tn3Z6mHCJg",0
not relevant,"thats still a bad habit to start, what if she gets so into the groove of throwing the gun when its empty, that she throws it when its not? irresponsible is what it is",0
not relevant,"Yes, I know it is - ah I just need to have more determination I think? I will try to - Sophie was always good at reminding me that I should be taking time out to relax, I guess I've just slipped into that bad habit again. Yes, you seem more relaxed and more confident too. -",0
not relevant,my nephew gotta get out of the habit of sitting on my stomach 😭😭 #keke,0
not relevant,This!,0
not relevant,You have to keep evolving and recreating yourself. Read. Explore. Discover. Learning new things and expanding your mind will add versatility into your life. You shouldn’t be who you were last week. Create new habits and consistently upgrade yourself in all ways and on all levels.,0
not relevant,I am constantly encouraging some family members who stay up till 5 am in the morning playing Call of Duty to focus on their sleeping habits as i am seeing each day how their health is slowly deteriorating. Wise words from you Gary my man @garyvee,0
not relevant,Unsure when cracking my knuckles became a nervous habit for me but can’t stop won’t stop,0
not relevant,"In the north, everything seems to be different entirely, Unlike everywhere in the World.
Dressing determines character, while In other places habit discerns character.",0
not relevant,"Girl you must be doing magic
Turn fuckin' you to a habit",0
not relevant,"tryna break the habit of callin' the fellow blacc man a "" nigga ""... ✊🏽",0
not relevant,"Living a life fueled by your pain is reactive living.

Living a life fueled by your values is purposeful living.",0
not relevant,"LMAO don’t rush when typing, that’s a habit I have as well!",0
not relevant,"With the rising cost of gasoline, Judson Almeida is beginning to worry about his drinking habit.",0
not relevant,yup. i didn’t even know larry was a possibility until i joined the fandom. they’ve done a pretty good job with the general public tbhhttps://twitter.com/Iousdefence/status/1292926704646787077 …,0
not relevant,Y’all please do my poll Ian playin,0
not relevant,I will most definitely be forming an obsessive shoe and bag habit https://twitter.com/daniellecanyell/status/1292925575837908993 …,0
not relevant,People always try to criticize my IF ways but yet they cant control their own eating habits 🙃🤔😅 Let me be and get a grip on yourself damn 🤣😆,0
not relevant,Seven Habits of Happy People – Focusing on Exercise - http://www.dreampositive.info/seven-habits-of-happy-people-focusing-on-exercise/ … #posi,0
not relevant,a lot of it comes naturally after an immensely long time playing but u can make it a habit of just telling yourself “i gotta stop that” or “i need to start punishing that” and those quoted statements get even more complex and specific the better u get,0
not relevant,Sunflower vol 6. And habit 😻,0
not relevant,11 Habits of Unhappy Couple We Have to Avoid to Save Our Relationship https://lucyandcesco.com/unhappy-relationship-advice/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …,0
not relevant,goldennn,0
not relevant,"By cleaning your room, you've completed a task. You've tasted success and fulfillment ,in that little way it can spread to other areas of your life. If you make it a habit. https://twitter.com/iam_elmars/status/1291773038195879943 …",0
not relevant,"In this life,
Just be Happy!!! 
Like, Make Staying Happy a daily Habit for you..",0
not relevant,You are a rancid individual and I hope your disturbing spending habits put you under financial pressure,0
not relevant,This my late night habit of taking cereals need to stop,0
not relevant,esny & habit,0
not relevant,"I have a bad habit, spending in my head money that I haven't earned.",0
not relevant,THESE HAVE TO BE 2010 WTF HOW DOES HE NOT AGEhttps://twitter.com/vaticanlarry/status/1291828089928982529 …,0
not relevant,I love that song 💞,0
not relevant,I think full riot geared up cops are definitely afraid of children. #getatherapist,0
not relevant,"Schumer has a habit of showing his ass as if to taunt his constituents with his fecklessness.

The first post I was able to see after my electricity came back after a blackout caused by the incompetence of lawless NY utility companies was this idiot ""urging"" the end of TikToc.",0
not relevant,.@nwenger815 has a toxic habit of yelling at me when people on Wheel of Fortune don’t choose the letters she would have,0
not relevant,You led your team to a huge defeat. Sweet.,0
not relevant,"Sweet dreams to all wizkid fc

I'm proud of who I stan💯 pic.twitter.com/ABfbiA2zdn",0
not relevant,Sweet dreams x,0
not relevant,ayo if you get sweet and sour sauce for your nugget hit me up let’s start a group chat,0
not relevant,you’re too sweet 🥺✨,0
not relevant,Sweet #Warframe,0
not relevant,AAAA UR SO SWEET tysm,0
not relevant,"We get good flavor and productivity out of our cayennes, and a sweet red pepper called a Carmine. Gonna keep experimenting to see what else does well here.",0
not relevant,i. . .  haven’t.  i don’t actually eat much fruit besides berries&& only the sweet ones.,0
not relevant,so sweet 🤧 got your back too! mwa,0
not relevant,"Ok. Now you done it. How sweet,
My pups have had frosty paws doggo ice cream but not one of these. Gotta get one tomorrow.
😊",0
not relevant,"My dear, sweet Andie, you are not alone... https://twitter.com/MollyJongFast/status/1289684364184506373 …",0
not relevant,"Erza laughs after kissing her sweet and loving white haired girlfriend.

“I love you too,” she chuckles. “To what do I owe this occasion? It’s not our anniversary, that’s not for a little while.”

Still she took the photo and admired the collaboration of the two lovers. https://twitter.com/motherlystrauss/status/1289711592649752581 …",0
not relevant,Lmao!! I’m not too picky as long as it’s not too sweet if red or too dry if white 🥴🤧,0
not relevant,I hate when I order jerk and the rice & peas are sweet. Ugh 🤮,0
not relevant,"SE PUSO SWEET NIGHT SOTY 

#ARMYTeamEarth_D1 #ARMYElementsBattle_D1",0
not relevant,Yes. I’m your brother.,0
not relevant,Awww😭 so sweet 💜💙🤗🥰💚,0
not relevant,"Damn, you’re being too sweet. Now I don’t get a chance to bully you anymore. Ugh. Also, I start my day with morning jog so yeah, I have my fill of water.",0
not relevant,almost (sweet music) by hozier !!!!!,0
not relevant,They are everywhere. Lol,0
not relevant,SOOOOOOOOOOOOOOOO EXCITED #BTS_Dynamite #BTS #BTSARMY,0
not relevant,aww you’re so sweet!! thank you gorgeous💗💗💗,0
not relevant,Excuse me King but you are way too sweet 🥺❤️,0
not relevant,happy birthday sweet💙💙,0
not relevant,"The kimchi stimulates saliva production and adds juiciness to the dry sweet potato, helps you not choke it down. Or so I've been told, but it's a common food combo in Korea",0
not relevant,Sweet! I'll be tuning in!,0
not relevant,So sweet,0
not relevant,you’re super sweet and really fun to interact with and I LOVE YOUR NAME,0
not relevant,my sweet thang,0
not relevant,Oh how sweet!! Congratulations!,0
not relevant,Am i too sweet for ya,0
not relevant,"Thank you so much, dear! Actually, living in Japan and Korea really helped me, suddenly the tables turned then ;) Also, pale skin types look younger since the skin isn‘t ageing from sunbathing so much ^^;;;; (Turning 31 this October kkkk)

😊 You are so sweet ❤︎",0
not relevant,"This #Rakhi celebrate with homemade Indian famous Sweet Besan ke Laddu | बेसन के लड्डू  https://youtu.be/re-Qn6KQw5o 
#rakhispecial #rakhi2020 #Rakhshabandhan",0
not relevant,Sweet,0
not relevant,If I like the message it’s over don’t text me back,0
not relevant,SWEET CREATURE 😔,0
not relevant,@A_Nashh quote ein tweet then talk am something sweet so say ago believe say you really go boys school (Adisco) make abelive you https://twitter.com/abigail83878632/status/1291071198865100802 …,0
not relevant,Sweet!,0
not relevant,Sweet.,0
not relevant,So sweet.,0
not relevant,Gyeom's so sweet he's replying to the fans' comments huhuhuhuhu how to stop adoring this man ㅠㅠ,0
not relevant,ALDLFKR I JUST SAW THIS YOURE SOO SWEET 😭😭😭,0
not relevant,"Three sweet little paintings were completed at Lac Ste Anne last weekend. 
I’m liking the simplicity :) 

The two 4 x 4” squares are $35 and the 3 x 6” is $45 
Contact me if you are interested as I haven’t put them on the website yet. pic.twitter.com/nLTLK5DTPT",0
not relevant,define the sweet sounds of Eroda,0
not relevant,The guys in the house are sweet. Tochi likes forming hard guy but he’s such a softie. Love him #BBNaija,0
not relevant,Bigot Pours Water On Child's Sidewalk Art https://youtu.be/Y9FTfEwy5rg  via @YouTube,0
not relevant,The story was incredibly sweet and heartfelt for the background of the characters.,0
not relevant,is “dream with me” always playing in eroda?? are those the sweet sounds ur talking abou??,0
not relevant,Thank you so much for taking the time to answer you're so sweet,0
not relevant,sometimes m think bout adie and it makes me wanna go pick all the best sweet n ripe strawberries for her ):,0
not relevant,which sweet sounds are you talking about🍉,0
not relevant,"""I thought you wanted me to stay so I'm not going anywhere!""",0
not relevant,"Mercilessly sinking my teeth into as I crunch down and take in the flavor... kukuku, it's indescribably luscious... there is nothing better than relishing in that taste together with Shuten... hm? What is it. ... I, I wasn't talking about sweets! Not at all!",0
not relevant,"𝐓𝐨𝐝𝐚𝐲 𝐢𝐬

#ILAND #ILAND_JAY #JAY #제이pic.twitter.com/z6kbDcSD5a",0
not relevant,Releasing these asap https://twitter.com/NoahSweet7/status/1291511160626466818 …pic.twitter.com/elhNR55rWL,0
not relevant,"mi coreo fav we jsjsj 
BLOOD SWEET AND TEARS 
#ExaBFF #ExaARMY @BTS_twt",0
not relevant,"Thinking about Starry Eyes that's one of the only things keeping me composed right now. 
#ExaARMY #ExaBFF @BTS_twt",0
not relevant,"I will disagree on both the avocado and cheese but yes, all strawberry flavored things are gross (I don’t make the rules) 🤢     Top three for me 🍌 Allergic,  🍓 hate the flavor, 🧁the texture is never right and is always ridiculously sweet (but I also just don’t like sweets).",0
not relevant,"Blood Sweet & Tears

#ExaARMY #ExaBBF @BTS_twt",0
not relevant,jimothy strudel 🤣🤣🤣🤣🤣,0
not relevant,Or any other sweets tbh,0
not relevant,Anime #ExaBFF #ExaARMY @BTS_twt,0
not relevant,when i have to go to hospital cos hu wenxuan blew my back out so hard that every bone is my body is broken what t… — Wetin b dis???https://curiouscat.qa/chizitere_/post/1128627454 …,0
not relevant,Awwww how sweet! Happy anniversary!,0
not relevant,😢😢😢 can’t believe ithttps://twitter.com/thedynamics/status/1291515974877839368 …,0
not relevant,The amount of burning hate I hold in my heart for sweet Caroline is immeasurable,0
not relevant,Could these random items from China be gifts? (This is going to have a twilight zone plot twist after we level them. They were JUST GIFTS!) I always found it incredibly sweet the Chinese added really odd gifts with purchases.,0
not relevant,"I already do, sweet pea.",0
not relevant,Such a wonderful day celebrating with my sweet family! Thanks for all the birthday wishes and sending my own birthday wishes to my beautiful mother - wish you were here Mom 😘😘 https://www.instagram.com/p/CDkTKnAh8PPVbgFX5fecShOC7Wh6K_xTtoSfmI0/?igshid=bx585ko6phd7 …,0
not relevant,Sweet night  #ExaARMY #ExaBFF @BTS_twt @bts_bighit,0
not relevant,60 fps cause the graphics are bad retard,0
not relevant,one sweet day is boring,0
not relevant,sweet dreams,0
not relevant,that’s so sweet of u :(((( thank u 🥺🥺,0
